ID,Nome,Idade,Regiao,Contrato,Carteirinha,Inspecao_Medica,Primeiro_Contrato,Ultimo_Contrato,Recomendacao
1,Roberto Martins,35,Oeste,Sem Contrato,Desativada,Fora da validade,2001-01-13,2011-01-11,Sim
2,Camila Rodrigues,20,Oeste,Sem Contrato,Ativada,Fora da validade,2001-10-30,2006-10-29,Não
3,Felipe Barros Rodrigues,31,Oeste,Dependente (2),Ativada,Dentro da validade,,,Sim
4,João Silva Rodrigues,53,Oeste,Dependente (2),Desativada,Fora da validade,2001-10-30,2006-10-29,Sim
5,Lucia Ferreira Rodrigues,18,Oeste,Dependente (2),Desativada,Dentro da validade,,,Sim
6,Fernando Alves Rodrigues,27,Oeste,Dependente (2),Desativada,Fora da validade,,,Sim
7,Marcelo Rezende Rodrigues,34,Oeste,Dependente (2),Ativada,Fora da validade,2001-10-30,2006-10-29,Sim
8,Leonardo Vieira,53,Oeste,Sem Contrato,Desativada,Fora da validade,2001-07-13,2002-07-13,Não
9,José Carvalho,32,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-01-24,2011-01-22,Não
10,Carolina Freitas Carvalho,27,Oeste,Dependente (9),Ativada,Dentro da validade,,,Sim
11,Cristina Machado Carvalho,9,Oeste,Dependente (9),Desativada,Dentro da validade,2001-01-24,2011-01-22,Sim
12,Marcos Pereira Carvalho,34,Oeste,Dependente (9),Ativada,Fora da validade,,,Sim
13,Adriana Farias Carvalho,19,Oeste,Dependente (9),Desativada,Fora da validade,,,Sim
14,José Carvalho Carvalho,57,Oeste,Dependente (9),Ativada,Dentro da validade,,,Sim
15,Camila Rodrigues Carvalho,63,Oeste,Dependente (9),Desativada,Fora da validade,,,Sim
16,Cristina Machado,59,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-06-12,2002-06-12,Não
17,Bruna Ribeiro Machado,62,Oeste,Dependente (16),Ativada,Dentro da validade,,,Sim
18,Roberto Martins Machado,37,Oeste,Dependente (16),Ativada,Fora da validade,2001-06-12,2002-06-12,Sim
19,Monica Batista,58,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-02-27,2002-02-27,Não
20,Adriana Farias Batista,60,Oeste,Dependente (19),Desativada,Fora da validade,,,Sim
21,Felipe Barros Batista,53,Oeste,Dependente (19),Ativada,Fora da validade,,,Sim
22,Bruna Ribeiro Batista,15,Oeste,Dependente (19),Ativada,Fora da validade,,,Sim
23,Fernando Alves,66,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-05-15,2011-05-13,Sim
24,Carolina Freitas Alves,53,Oeste,Dependente (23),Ativada,Fora da validade,,,Sim
25,João Silva Alves,43,Oeste,Dependente (23),Ativada,Dentro da validade,2001-05-15,2011-05-13,Sim
26,Isabela Castro Alves,20,Oeste,Dependente (23),Ativada,Fora da validade,2001-05-15,2011-05-13,Sim
27,Juliana Lima Alves,51,Oeste,Dependente (23),Ativada,Dentro da validade,2001-05-15,2011-05-13,Sim
28,Adriana Farias,26,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-09-30,2002-09-30,Sim
