Data,ID_Cliente,Cliente,Almoco,Bebidas,Total_Gasto
2001-11-22,22744,Rafael Mendes Nascimento,45.48,Sucos,61.48
2001-02-28,12714,Mariana Duarte Cavalcanti,54.32,"Alcóolicas, Refrigerantes",91.32
2001-05-03,5375,Marcos Pereira Barbosa,93.55,"Água, Alcóolicas, Sucos",123.55
2001-09-18,19911,Amanda Dias Azevedo,36.44,Sucos,60.44
2001-04-17,436,Roberto Martins Cardoso,54.81,"Alcóolicas, Sucos",99.81
2001-08-14,13776,Gustavo Azevedo Batista,52.15,"Refrigerantes, Alcóolicas, Água",93.15
2001-04-13,3299,Camila Rodrigues Duarte,25.51,"Refrigerantes, Água, Sucos",73.51
2001-12-27,23601,Silvia Cavalcanti Cardoso,38.83,"Água, Alcóolicas",56.83
2001-03-31,1654,Bruna Ribeiro Coelho,56.05,"Refrigerantes, Alcóolicas, Sucos",110.05
2001-12-02,12075,Roberto Martins Teixeira,105.04,"Sucos, Alcóolicas, Refrigerantes",151.04
2001-01-16,20307,Fernanda Gomes,20.08,"Sucos, Alcóolicas",43.08
2001-03-24,13208,Isabela Castro Cavalcanti,45.59,"Água, Alcóolicas, Sucos",80.59
2001-12-05,9521,Silvia Cavalcanti Melo,58.19,"Alcóolicas, Água",73.19
2001-02-11,4464,Fernanda Gomes Monteiro,26.8,"Refrigerantes, Água, Alcóolicas",52.8
2001-02-11,2035,Amanda Dias Barbosa,59.16,"Alcóolicas, Água, Sucos",108.16
2001-02-24,9575,Gustavo Azevedo,23.54,"Água, Sucos, Alcóolicas",76.54
2001-12-15,18791,Adriana Farias,24.25,"Alcóolicas, Água",53.25
2001-05-15,20862,Lucia Ferreira Araújo,32.37,Alcóolicas,46.37
2001-04-28,20812,Renata Campos Torres,18.71,"Sucos, Água, Alcóolicas",59.71
2001-12-08,1389,Camila Rodrigues Azevedo,35.4,"Água, Alcóolicas",61.4
2001-03-25,9818,Gustavo Azevedo Ramos,78.96,Água,86.96
2001-06-06,17690,Ricardo Barbosa Costa,51.84,"Água, Alcóolicas",70.84
2001-02-27,21336,Carlos Souza Carvalho,57.96,"Refrigerantes, Água, Alcóolicas",102.96
2001-12-21,23090,Thiago Monteiro Pereira,22.82,Refrigerantes,46.82
2001-04-11,21242,Tatiana Moreira Rocha,38.8,"Sucos, Água",58.8
2001-01-24,279,Carlos Souza Fonseca,53.69,"Alcóolicas, Água",64.69
2001-05-01,21147,Ana Costa,23.65,"Água, Alcóolicas",34.65
2001-11-27,191,Lucas Teixeira,57.14,Sucos,65.14
2001-02-20,16705,Lucas Teixeira Pinto,19.82,Refrigerantes,43.82
2001-04-17,2602,Raquel Pires Moura,41.21,"Alcóolicas, Sucos, Água",74.21
2001-12-30,1058,Cristina Machado Duarte,46.65,"Sucos, Alcóolicas",77.65
2001-12-11,25151,Gabriel Ramos Coelho,33.66,"Refrigerantes, Alcóolicas",55.66
2001-11-07,18461,Leonardo Vieira Ribeiro,82.44,"Refrigerantes, Água, Alcóolicas",121.44
2001-02-23,13484,Vanessa Correia Campos,42.83,"Sucos, Refrigerantes",66.83
2001-01-31,8587,Diego Pinto,57.91,"Água, Sucos",93.91
2001-03-28,22208,Gabriel Ramos Cavalcanti,35.17,"Refrigerantes, Alcóolicas",73.17
2001-05-09,15821,Tatiana Moreira Lopes,21.57,"Sucos, Alcóolicas",58.57
2001-09-09,2998,Rafael Mendes Correia,33.47,"Sucos, Refrigerantes, Alcóolicas",87.47
2001-11-22,25396,Marcos Pereira,23.74,"Alcóolicas, Água",56.74
2001-10-28,21801,Pedro Oliveira Freitas,44.06,"Água, Refrigerantes",64.06
2001-12-13,3822,Simone Fonseca,40.19,Sucos,56.19
2001-09-01,17857,Amanda Dias Moreira,43.57,"Água, Refrigerantes",71.57
2001-02-15,10375,Renata Campos,34.7,"Refrigerantes, Sucos",66.7
2001-08-29,5421,Cristina Machado Rocha,50.77,Sucos,58.77
2001-12-22,13263,Diego Pinto Santos,18.8,Refrigerantes,34.8
2001-11-08,4898,Diego Pinto Castro,45.91,"Sucos, Refrigerantes",69.91
2001-11-23,1530,Marcelo Rezende Farias,40.47,"Refrigerantes, Água, Alcóolicas",79.47
2001-01-26,15899,Amanda Dias Lopes,94.03,"Alcóolicas, Sucos, Refrigerantes",125.03
2001-12-08,21996,Ana Costa Ramos,59.61,"Sucos, Alcóolicas, Água",92.61
2001-07-28,14640,Paula Melo Rezende,55.12,"Alcóolicas, Refrigerantes",100.12
2001-11-17,15379,Lucia Ferreira Correia,42.04,"Água, Sucos, Alcóolicas",79.04
2001-11-20,6959,Carlos Souza Torres,20.26,"Refrigerantes, Alcóolicas, Água",39.26
