ID_Vendedor,Data,ID_Cliente,Cliente,Contrato,Vendedor,Gestão
1,2001-01-13,1,Roberto Martins,Plano de 10 anos,Ricardo,Marrone
2,2001-10-30,2,Camila Rodrigues,Plano de 5 anos,Rodrigo,Marrone
3,2001-07-13,8,Leonardo Vieira,Plano de 5 anos,Anchieta,Marrone
4,2001-01-24,9,José Carvalho,Plano de 10 anos,Ricardo,Marrone
5,2001-06-12,16,Cristina Machado,Plano de 5 anos,Mario,Marrone
6,2001-02-27,19,Monica Batista,Plano de 10 anos,Anchieta,Marrone
7,2001-05-15,23,Fernando Alves,Plano de 5 anos,Anchieta,Marrone
8,2001-09-30,28,Adriana Farias,Plano Anual,Ricardo,Marrone
9,2001-07-24,30,Renata Campos,Plano de 5 anos,Daniela,Marrone
10,2001-10-30,31,João Silva,Plano de 5 anos,Anchieta,Marrone
11,2001-06-19,32,Alexandre Araújo,Plano de 5 anos,Ricardo,Marrone
12,2001-06-23,36,Felipe Barros,Plano de 10 anos,Pedro,Marrone
13,2001-02-20,38,Juliana Lima,Plano de 10 anos,Daniela,Marrone
14,2001-03-21,42,Ana Costa,Plano de 10 anos,Anchieta,Marrone
15,2001-01-26,43,Renata Campos,Plano de 5 anos,Ricardo,Marrone
16,2001-10-19,45,Raquel Pires,Plano de 5 anos,Gabriel,Marrone
17,2001-02-07,48,Bruno Castro,Plano de 10 anos,Ricardo,Marrone
18,2001-12-01,51,Adriana Farias,Plano de 5 anos,Mario,Marrone
19,2001-11-06,53,Monica Batista,Plano de 10 anos,Anchieta,Marrone
20,2001-02-17,54,João Silva,Plano de 10 anos,Patricia,Marrone
21,2001-02-08,56,Carolina Freitas,Plano de 5 anos,Anchieta,Marrone
22,2001-11-14,59,Marcos Pereira,Plano de 5 anos,Mariana,Marrone
23,2001-04-03,60,Alexandre Araújo,Plano de 5 anos,Fernando,Marrone
24,2001-02-25,67,Rafael Mendes,Plano de 10 anos,Pedro,Marrone
25,2001-09-18,72,Vanessa Correia,Plano Anual,Thiago,Marrone
26,2001-11-21,78,Anderson Coelho,Plano de 5 anos,Thiago,Marrone
27,2001-08-22,80,Silvia Cavalcanti,Plano de 10 anos,Mario,Marrone
28,2001-08-07,86,Rodrigo Neves,Plano de 10 anos,Anchieta,Marrone
29,2001-10-04,89,Diego Pinto,Plano Anual,Anchieta,Marrone
30,2001-06-02,93,Paula Melo,Plano de 10 anos,Ricardo,Marrone
31,2001-07-27,95,Raquel Pires,Plano Anual,Ricardo,Marrone
32,2001-11-30,101,Amanda Dias,Plano Anual,Mario,Marrone
33,2001-05-12,103,Paula Melo,Plano de 10 anos,Anchieta,Marrone
34,2001-12-20,106,Simone Fonseca,Plano Anual,Camila,Marrone
35,2001-02-14,113,Leticia Cunha,Plano de 5 anos,Thiago,Marrone
36,2001-10-12,117,Silvia Cavalcanti,Plano Anual,Ricardo,Marrone
37,2001-10-11,119,Paula Melo,Plano de 5 anos,Ricardo,Marrone
38,2001-09-05,122,Anderson Coelho,Plano de 10 anos,Camila,Marrone
39,2001-03-06,124,Gabriel Ramos,Plano de 10 anos,Rodrigo,Marrone
40,2001-01-28,128,Juliana Lima,Plano Anual,Ricardo,Marrone
41,2001-10-30,130,Ana Costa,Plano Anual,Amanda,Marrone
42,2001-10-10,132,Gustavo Azevedo,Plano de 10 anos,Ricardo,Marrone
43,2001-08-07,135,Lucia Ferreira,Plano Anual,Fernando,Marrone
44,2001-08-14,137,Vinicius Torres,Plano de 10 anos,Ricardo,Marrone
45,2001-01-21,141,Gustavo Azevedo,Plano Anual,Mario,Marrone
46,2001-02-15,145,Simone Fonseca,Plano de 5 anos,Rodrigo,Marrone
47,2001-02-28,151,Lucia Ferreira,Plano de 10 anos,Ricardo,Marrone
48,2001-02-06,154,Beatriz Cardoso,Plano de 5 anos,Anchieta,Marrone
49,2001-10-06,157,Vinicius Torres,Plano de 10 anos,Anchieta,Marrone
50,2001-02-21,161,Leticia Cunha,Plano Anual,Beatriz,Marrone
51,2001-02-11,163,Rafael Mendes,Plano Anual,Ricardo,Marrone
52,2001-08-09,168,Bruno Castro,Plano Anual,Ricardo,Marrone
53,2001-06-26,172,Bruna Ribeiro,Plano de 5 anos,Anchieta,Marrone
54,2001-01-26,176,Gabriel Ramos,Plano de 5 anos,Rodrigo,Marrone
55,2001-12-04,178,Leonardo Vieira,Plano de 10 anos,Anchieta,Marrone
56,2001-02-28,183,José Carvalho,Plano Anual,Ricardo,Marrone
57,2001-02-02,188,Cristina Machado,Plano Anual,Ricardo,Marrone
58,2001-10-04,191,Lucas Teixeira,Plano de 10 anos,Anchieta,Marrone
59,2001-11-27,194,Ricardo Barbosa,Plano Anual,Ricardo,Marrone
60,2001-12-06,195,Maria Santos,Plano de 5 anos,Cássia,Marrone
61,2001-05-01,197,Henrique Lopes,Plano de 5 anos,Ricardo,Marrone
62,2001-01-09,199,Rafael Mendes,Plano de 10 anos,Anchieta,Marrone
63,2001-01-16,203,Monica Batista,Plano Anual,Daniela,Marrone
64,2001-06-14,204,Tatiana Moreira,Plano Anual,Anchieta,Marrone
